t,action_id,action_name
0,3,ROTATE
1,3,ROTATE
2,1,LEFT
3,1,LEFT
4,5,HARD_DROP
5,5,HARD_DROP
6,3,ROTATE
7,1,LEFT
8,1,LEFT
9,1,LEFT
10,1,LEFT
11,1,LEFT
12,1,LEFT
13,5,HARD_DROP
14,1,LEFT
15,1,LEFT
16,1,LEFT
17,1,LEFT
18,1,LEFT
19,5,HARD_DROP
20,3,ROTATE
21,1,LEFT
22,1,LEFT
23,1,LEFT
24,1,LEFT
25,1,LEFT
26,1,LEFT
27,5,HARD_DROP
28,1,LEFT
29,1,LEFT
30,1,LEFT
31,1,LEFT
32,1,LEFT
33,5,HARD_DROP
34,3,ROTATE
35,3,ROTATE
36,3,ROTATE
37,1,LEFT
38,1,LEFT
39,1,LEFT
40,1,LEFT
41,1,LEFT
42,5,HARD_DROP
43,1,LEFT
44,1,LEFT
45,1,LEFT
46,1,LEFT
47,1,LEFT
48,5,HARD_DROP
49,3,ROTATE
50,1,LEFT
51,1,LEFT
52,1,LEFT
53,1,LEFT
54,1,LEFT
55,5,HARD_DROP
56,3,ROTATE
57,1,LEFT
58,1,LEFT
59,1,LEFT
60,1,LEFT
61,5,HARD_DROP
62,3,ROTATE
63,3,ROTATE
64,1,LEFT
65,1,LEFT
66,1,LEFT
67,1,LEFT
68,1,LEFT
69,5,HARD_DROP
70,3,ROTATE
71,3,ROTATE
72,1,LEFT
73,1,LEFT
74,1,LEFT
75,1,LEFT
76,1,LEFT
77,5,HARD_DROP
78,3,ROTATE
79,3,ROTATE
80,3,ROTATE
81,1,LEFT
82,1,LEFT
83,1,LEFT
84,1,LEFT
85,1,LEFT
86,5,HARD_DROP
87,1,LEFT
88,1,LEFT
89,5,HARD_DROP
90,5,HARD_DROP
91,5,HARD_DROP
92,3,ROTATE
93,3,ROTATE
94,1,LEFT
95,1,LEFT
96,1,LEFT
97,1,LEFT
98,1,LEFT
99,5,HARD_DROP
100,3,ROTATE
101,3,ROTATE
102,1,LEFT
103,1,LEFT
104,1,LEFT
105,1,LEFT
106,1,LEFT
107,5,HARD_DROP
108,1,LEFT
109,1,LEFT
110,1,LEFT
111,1,LEFT
112,1,LEFT
113,5,HARD_DROP
114,3,ROTATE
115,3,ROTATE
116,1,LEFT
117,1,LEFT
118,5,HARD_DROP
119,3,ROTATE
120,3,ROTATE
121,1,LEFT
122,1,LEFT
123,5,HARD_DROP
124,3,ROTATE
125,3,ROTATE
126,1,LEFT
127,1,LEFT
128,5,HARD_DROP
129,3,ROTATE
130,1,LEFT
131,1,LEFT
132,5,HARD_DROP
133,3,ROTATE
134,1,LEFT
135,1,LEFT
136,5,HARD_DROP
