t,raw_action,action_name
0,3,ID_3
1,3,ID_3
2,1,ID_1
3,1,ID_1
4,1,ID_1
5,1,ID_1
6,1,ID_1
7,5,ID_5
8,3,ID_3
9,2,ID_2
10,5,ID_5
11,3,ID_3
12,2,ID_2
13,5,ID_5
14,3,ID_3
15,2,ID_2
16,5,ID_5
17,5,ID_5
18,5,ID_5
19,5,ID_5
20,3,ID_3
21,5,ID_5
22,5,ID_5
23,5,ID_5
24,5,ID_5
25,5,ID_5
26,5,ID_5
27,5,ID_5
28,5,ID_5
29,5,ID_5
30,5,ID_5
31,5,ID_5
32,3,ID_3
33,3,ID_3
34,1,ID_1
35,1,ID_1
36,1,ID_1
37,5,ID_5
38,3,ID_3
39,2,ID_2
40,5,ID_5
41,3,ID_3
42,2,ID_2
43,5,ID_5
44,3,ID_3
45,2,ID_2
46,5,ID_5
47,5,ID_5
48,5,ID_5
49,3,ID_3
50,5,ID_5
51,5,ID_5
52,5,ID_5
53,5,ID_5
54,5,ID_5
55,5,ID_5
56,5,ID_5
57,5,ID_5
58,3,ID_3
59,3,ID_3
60,2,ID_2
61,5,ID_5
62,3,ID_3
63,3,ID_3
64,3,ID_3
65,2,ID_2
66,5,ID_5
67,3,ID_3
68,3,ID_3
69,5,ID_5
70,5,ID_5
71,5,ID_5
72,3,ID_3
73,5,ID_5
74,5,ID_5
75,5,ID_5
76,5,ID_5
77,5,ID_5
78,3,ID_3
79,3,ID_3
80,2,ID_2
81,5,ID_5
82,3,ID_3
83,3,ID_3
84,3,ID_3
85,2,ID_2
86,5,ID_5
87,3,ID_3
88,3,ID_3
89,5,ID_5
90,3,ID_3
91,3,ID_3
92,1,ID_1
93,1,ID_1
94,1,ID_1
95,1,ID_1
96,1,ID_1
97,3,ID_3
98,3,ID_3
99,2,ID_2
100,3,ID_3
