t,action_name
0,LEFT
1,LEFT
2,LEFT
3,LEFT
4,LEFT
5,HARD_DROP
6,ROTATE
7,ROTATE
8,LEFT
9,LEFT
10,HARD_DROP
11,ROTATE
12,ROTATE
13,ROTATE
14,ROTATE
15,ROTATE
16,ROTATE
17,ROTATE
18,ROTATE
19,ROTATE
20,ROTATE
21,ROTATE
22,ROTATE
23,ROTATE
24,ROTATE
25,ROTATE
26,ROTATE
27,ROTATE
28,ROTATE
29,ROTATE
30,ROTATE
31,ROTATE
32,ROTATE
33,ROTATE
34,ROTATE
35,ROTATE
36,ROTATE
37,ROTATE
38,ROTATE
39,ROTATE
40,ROTATE
41,ROTATE
42,ROTATE
43,ROTATE
44,ROTATE
45,ROTATE
46,ROTATE
47,ROTATE
48,ROTATE
49,ROTATE
50,ROTATE
51,ROTATE
52,ROTATE
53,ROTATE
54,ROTATE
55,ROTATE
56,ROTATE
57,ROTATE
58,ROTATE
59,ROTATE
60,ROTATE
61,ROTATE
62,ROTATE
63,ROTATE
64,ROTATE
65,ROTATE
66,ROTATE
67,ROTATE
68,ROTATE
69,ROTATE
70,ROTATE
71,ROTATE
72,ROTATE
73,ROTATE
74,ROTATE
75,ROTATE
76,ROTATE
77,ROTATE
78,ROTATE
79,ROTATE
80,ROTATE
81,ROTATE
82,ROTATE
83,ROTATE
84,ROTATE
85,ROTATE
86,ROTATE
87,ROTATE
88,ROTATE
89,ROTATE
90,ROTATE
91,ROTATE
92,ROTATE
93,ROTATE
94,ROTATE
95,ROTATE
96,ROTATE
97,ROTATE
98,ROTATE
99,ROTATE
100,ROTATE
101,ROTATE
102,ROTATE
103,ROTATE
104,ROTATE
105,ROTATE
106,ROTATE
107,ROTATE
108,ROTATE
109,ROTATE
110,ROTATE
111,ROTATE
112,ROTATE
113,ROTATE
114,ROTATE
115,ROTATE
116,ROTATE
117,ROTATE
118,ROTATE
119,ROTATE
120,ROTATE
121,ROTATE
122,ROTATE
123,ROTATE
124,ROTATE
125,ROTATE
126,ROTATE
127,ROTATE
128,ROTATE
129,ROTATE
130,ROTATE
131,ROTATE
132,ROTATE
133,ROTATE
134,ROTATE
135,ROTATE
136,ROTATE
137,ROTATE
138,ROTATE
139,ROTATE
140,ROTATE
141,ROTATE
142,ROTATE
143,ROTATE
144,ROTATE
145,ROTATE
146,ROTATE
147,ROTATE
148,ROTATE
149,ROTATE
150,ROTATE
151,ROTATE
152,ROTATE
153,ROTATE
154,ROTATE
155,ROTATE
156,ROTATE
157,ROTATE
158,ROTATE
159,ROTATE
160,ROTATE
161,ROTATE
162,ROTATE
163,ROTATE
164,ROTATE
165,ROTATE
166,ROTATE
167,ROTATE
168,ROTATE
169,ROTATE
170,ROTATE
171,ROTATE
172,ROTATE
173,ROTATE
174,ROTATE
175,ROTATE
176,ROTATE
177,ROTATE
178,ROTATE
179,ROTATE
180,ROTATE
181,ROTATE
182,ROTATE
183,ROTATE
184,ROTATE
185,ROTATE
186,ROTATE
187,ROTATE
188,ROTATE
189,ROTATE
190,ROTATE
191,ROTATE
192,ROTATE
193,ROTATE
194,ROTATE
195,ROTATE
196,ROTATE
197,ROTATE
198,ROTATE
199,ROTATE
200,ROTATE
201,ROTATE
202,ROTATE
203,ROTATE
204,ROTATE
205,ROTATE
206,ROTATE
207,ROTATE
208,ROTATE
209,ROTATE
210,ROTATE
211,ROTATE
212,ROTATE
213,ROTATE
214,ROTATE
215,ROTATE
216,ROTATE
217,ROTATE
218,ROTATE
219,ROTATE
220,ROTATE
221,ROTATE
222,ROTATE
223,ROTATE
224,ROTATE
225,ROTATE
226,ROTATE
227,ROTATE
228,ROTATE
229,ROTATE
230,ROTATE
231,ROTATE
232,ROTATE
233,ROTATE
234,ROTATE
235,ROTATE
236,ROTATE
237,ROTATE
238,ROTATE
239,ROTATE
240,ROTATE
241,ROTATE
242,ROTATE
243,ROTATE
244,ROTATE
245,ROTATE
246,ROTATE
247,ROTATE
248,ROTATE
249,ROTATE
250,ROTATE
251,ROTATE
252,ROTATE
253,ROTATE
254,ROTATE
255,ROTATE
256,ROTATE
257,ROTATE
258,ROTATE
259,ROTATE
260,ROTATE
261,ROTATE
262,ROTATE
263,ROTATE
264,ROTATE
265,ROTATE
266,ROTATE
267,ROTATE
268,ROTATE
269,ROTATE
270,ROTATE
271,ROTATE
272,ROTATE
273,ROTATE
274,ROTATE
275,ROTATE
276,ROTATE
277,ROTATE
278,ROTATE
279,ROTATE
280,ROTATE
281,ROTATE
282,ROTATE
283,ROTATE
284,ROTATE
285,ROTATE
286,ROTATE
287,ROTATE
288,ROTATE
289,ROTATE
290,ROTATE
291,ROTATE
292,ROTATE
293,ROTATE
294,ROTATE
295,ROTATE
296,ROTATE
297,ROTATE
298,ROTATE
299,ROTATE
300,ROTATE
301,ROTATE
302,ROTATE
303,ROTATE
304,ROTATE
305,ROTATE
306,ROTATE
307,ROTATE
308,ROTATE
309,ROTATE
310,ROTATE
311,ROTATE
312,ROTATE
313,ROTATE
314,ROTATE
315,ROTATE
316,ROTATE
317,ROTATE
318,ROTATE
319,ROTATE
320,ROTATE
321,ROTATE
322,ROTATE
323,ROTATE
324,ROTATE
325,ROTATE
326,ROTATE
327,ROTATE
328,ROTATE
329,ROTATE
330,ROTATE
331,ROTATE
332,ROTATE
333,ROTATE
334,ROTATE
335,ROTATE
336,ROTATE
337,ROTATE
338,ROTATE
339,ROTATE
340,ROTATE
341,ROTATE
342,ROTATE
343,ROTATE
344,ROTATE
345,ROTATE
346,ROTATE
347,ROTATE
348,ROTATE
349,ROTATE
350,ROTATE
351,ROTATE
352,ROTATE
353,ROTATE
354,ROTATE
355,ROTATE
356,ROTATE
357,ROTATE
358,ROTATE
359,ROTATE
360,ROTATE
361,ROTATE
362,ROTATE
363,ROTATE
364,ROTATE
365,ROTATE
366,ROTATE
367,ROTATE
368,ROTATE
369,ROTATE
370,ROTATE
371,ROTATE
372,ROTATE
373,ROTATE
374,ROTATE
375,ROTATE
376,ROTATE
377,ROTATE
378,ROTATE
379,ROTATE
380,ROTATE
381,ROTATE
382,ROTATE
383,ROTATE
384,ROTATE
385,ROTATE
386,ROTATE
387,ROTATE
388,ROTATE
389,ROTATE
390,ROTATE
391,ROTATE
392,ROTATE
393,ROTATE
394,ROTATE
395,ROTATE
396,ROTATE
397,ROTATE
398,ROTATE
399,ROTATE
400,ROTATE
401,ROTATE
402,ROTATE
403,ROTATE
404,ROTATE
405,ROTATE
406,ROTATE
407,ROTATE
408,ROTATE
409,ROTATE
410,ROTATE
411,ROTATE
412,ROTATE
413,ROTATE
414,ROTATE
415,ROTATE
416,ROTATE
417,ROTATE
418,ROTATE
419,ROTATE
420,ROTATE
421,ROTATE
422,ROTATE
423,ROTATE
424,ROTATE
425,ROTATE
426,ROTATE
427,ROTATE
428,ROTATE
429,ROTATE
430,ROTATE
431,ROTATE
432,ROTATE
433,ROTATE
434,ROTATE
435,ROTATE
436,ROTATE
437,ROTATE
438,ROTATE
439,ROTATE
440,ROTATE
441,ROTATE
442,ROTATE
443,ROTATE
444,ROTATE
445,ROTATE
446,ROTATE
447,ROTATE
448,ROTATE
449,ROTATE
450,ROTATE
451,ROTATE
452,ROTATE
453,ROTATE
454,ROTATE
455,ROTATE
456,ROTATE
457,ROTATE
458,ROTATE
459,ROTATE
460,ROTATE
461,ROTATE
462,ROTATE
463,ROTATE
464,ROTATE
465,ROTATE
466,ROTATE
467,ROTATE
468,ROTATE
469,ROTATE
470,ROTATE
471,ROTATE
472,ROTATE
473,ROTATE
474,ROTATE
475,ROTATE
476,ROTATE
477,ROTATE
478,ROTATE
479,ROTATE
480,ROTATE
481,ROTATE
482,ROTATE
483,ROTATE
484,ROTATE
485,ROTATE
486,ROTATE
487,ROTATE
488,ROTATE
489,ROTATE
490,ROTATE
491,ROTATE
492,ROTATE
493,ROTATE
494,ROTATE
495,ROTATE
496,ROTATE
497,ROTATE
498,ROTATE
499,ROTATE
500,ROTATE
501,ROTATE
502,ROTATE
503,ROTATE
504,ROTATE
505,ROTATE
506,ROTATE
507,ROTATE
508,ROTATE
509,ROTATE
510,ROTATE
511,ROTATE
512,ROTATE
513,ROTATE
514,ROTATE
515,ROTATE
516,ROTATE
517,ROTATE
518,ROTATE
519,ROTATE
520,ROTATE
521,ROTATE
522,ROTATE
523,ROTATE
524,ROTATE
525,ROTATE
526,ROTATE
527,ROTATE
528,ROTATE
529,ROTATE
530,ROTATE
531,ROTATE
532,ROTATE
533,ROTATE
534,ROTATE
535,ROTATE
536,ROTATE
537,ROTATE
538,ROTATE
539,ROTATE
540,ROTATE
541,ROTATE
542,ROTATE
543,ROTATE
544,ROTATE
545,ROTATE
546,ROTATE
547,ROTATE
548,ROTATE
549,ROTATE
550,ROTATE
551,ROTATE
552,ROTATE
553,ROTATE
554,ROTATE
555,ROTATE
556,ROTATE
557,ROTATE
558,ROTATE
559,ROTATE
560,ROTATE
561,ROTATE
562,ROTATE
563,ROTATE
564,ROTATE
565,ROTATE
566,ROTATE
567,ROTATE
568,ROTATE
569,ROTATE
570,ROTATE
571,ROTATE
572,ROTATE
573,ROTATE
574,ROTATE
575,ROTATE
576,ROTATE
577,ROTATE
578,ROTATE
579,ROTATE
580,ROTATE
581,ROTATE
582,ROTATE
583,ROTATE
584,ROTATE
585,ROTATE
586,ROTATE
587,ROTATE
588,ROTATE
589,ROTATE
590,ROTATE
591,ROTATE
592,ROTATE
593,ROTATE
594,ROTATE
595,ROTATE
596,ROTATE
597,ROTATE
598,ROTATE
599,ROTATE
600,ROTATE
601,ROTATE
602,ROTATE
603,ROTATE
604,ROTATE
605,ROTATE
606,ROTATE
607,ROTATE
608,ROTATE
609,ROTATE
610,ROTATE
611,ROTATE
612,ROTATE
613,ROTATE
614,ROTATE
615,ROTATE
616,ROTATE
617,ROTATE
618,ROTATE
619,ROTATE
620,ROTATE
621,ROTATE
622,ROTATE
623,ROTATE
624,ROTATE
625,ROTATE
626,ROTATE
627,ROTATE
628,ROTATE
629,ROTATE
630,ROTATE
631,ROTATE
632,ROTATE
633,ROTATE
634,ROTATE
635,ROTATE
636,ROTATE
637,ROTATE
638,ROTATE
639,ROTATE
640,ROTATE
