t,action_raw,action_name
0,HARD_DROP,HARD_DROP
1,NONE,NONE
2,NONE,NONE
3,ROTATE,ROTATE
4,NONE,NONE
5,NONE,NONE
6,ROTATE,ROTATE
7,NONE,NONE
8,NONE,NONE
9,HARD_DROP,HARD_DROP
10,NONE,NONE
11,NONE,NONE
12,ROTATE,ROTATE
13,NONE,NONE
14,NONE,NONE
15,ROTATE,ROTATE
16,NONE,NONE
17,NONE,NONE
18,HARD_DROP,HARD_DROP
19,NONE,NONE
20,NONE,NONE
21,ROTATE,ROTATE
22,NONE,NONE
23,NONE,NONE
24,ROTATE,ROTATE
25,NONE,NONE
26,NONE,NONE
27,HARD_DROP,HARD_DROP
28,NONE,NONE
29,NONE,NONE
30,HARD_DROP,HARD_DROP
31,NONE,NONE
32,NONE,NONE
33,RIGHT,RIGHT
34,NONE,NONE
35,NONE,NONE
36,RIGHT,RIGHT
37,NONE,NONE
38,NONE,NONE
39,RIGHT,RIGHT
40,NONE,NONE
41,NONE,NONE
42,LEFT,LEFT
43,NONE,NONE
44,NONE,NONE
45,HARD_DROP,HARD_DROP
46,NONE,NONE
47,NONE,NONE
48,ROTATE,ROTATE
49,NONE,NONE
50,NONE,NONE
51,ROTATE,ROTATE
52,NONE,NONE
53,NONE,NONE
54,ROTATE,ROTATE
55,NONE,NONE
56,NONE,NONE
57,ROTATE,ROTATE
58,NONE,NONE
59,NONE,NONE
60,ROTATE,ROTATE
61,NONE,NONE
