t,action_env,action_name
0,ROTATE,ROTATE
1,NONE,NONE
2,NONE,NONE
3,ROTATE,ROTATE
4,NONE,NONE
5,NONE,NONE
6,ROTATE,ROTATE
7,NONE,NONE
8,NONE,NONE
9,RIGHT,RIGHT
10,NONE,NONE
11,NONE,NONE
12,RIGHT,RIGHT
13,NONE,NONE
14,NONE,NONE
15,RIGHT,RIGHT
16,NONE,NONE
17,NONE,NONE
18,RIGHT,RIGHT
19,NONE,NONE
20,NONE,NONE
21,RIGHT,RIGHT
22,NONE,NONE
23,NONE,NONE
24,ROTATE,ROTATE
25,NONE,NONE
26,NONE,NONE
27,ROTATE,ROTATE
28,NONE,NONE
29,NONE,NONE
30,LEFT,LEFT
31,NONE,NONE
32,NONE,NONE
33,LEFT,LEFT
34,NONE,NONE
35,NONE,NONE
36,LEFT,LEFT
37,NONE,NONE
38,NONE,NONE
39,LEFT,LEFT
40,NONE,NONE
41,NONE,NONE
42,LEFT,LEFT
43,NONE,NONE
44,NONE,NONE
45,HARD_DROP,HARD_DROP
46,NONE,NONE
47,NONE,NONE
48,LEFT,LEFT
49,NONE,NONE
50,NONE,NONE
51,LEFT,LEFT
52,NONE,NONE
53,NONE,NONE
54,HARD_DROP,HARD_DROP
55,NONE,NONE
56,NONE,NONE
57,ROTATE,ROTATE
58,NONE,NONE
59,NONE,NONE
60,LEFT,LEFT
61,NONE,NONE
62,NONE,NONE
63,LEFT,LEFT
64,NONE,NONE
65,NONE,NONE
66,LEFT,LEFT
67,NONE,NONE
68,NONE,NONE
69,LEFT,LEFT
70,NONE,NONE
71,NONE,NONE
72,LEFT,LEFT
73,NONE,NONE
74,NONE,NONE
75,ROTATE,ROTATE
76,NONE,NONE
77,NONE,NONE
78,ROTATE,ROTATE
79,NONE,NONE
80,NONE,NONE
81,ROTATE,ROTATE
82,NONE,NONE
83,NONE,NONE
84,LEFT,LEFT
85,NONE,NONE
86,NONE,NONE
87,LEFT,LEFT
88,NONE,NONE
89,NONE,NONE
90,LEFT,LEFT
91,NONE,NONE
92,NONE,NONE
93,LEFT,LEFT
94,NONE,NONE
95,NONE,NONE
96,LEFT,LEFT
97,NONE,NONE
98,NONE,NONE
99,LEFT,LEFT
100,NONE,NONE
101,NONE,NONE
102,LEFT,LEFT
103,NONE,NONE
104,NONE,NONE
105,LEFT,LEFT
106,NONE,NONE
107,NONE,NONE
108,LEFT,LEFT
109,NONE,NONE
110,NONE,NONE
111,HARD_DROP,HARD_DROP
112,NONE,NONE
113,NONE,NONE
114,ROTATE,ROTATE
115,NONE,NONE
116,NONE,NONE
117,LEFT,LEFT
118,NONE,NONE
119,NONE,NONE
120,LEFT,LEFT
121,NONE,NONE
122,NONE,NONE
123,HARD_DROP,HARD_DROP
124,NONE,NONE
125,NONE,NONE
126,ROTATE,ROTATE
127,NONE,NONE
128,NONE,NONE
129,LEFT,LEFT
130,NONE,NONE
131,NONE,NONE
132,LEFT,LEFT
133,NONE,NONE
134,NONE,NONE
135,LEFT,LEFT
136,NONE,NONE
137,NONE,NONE
138,HARD_DROP,HARD_DROP
139,NONE,NONE
140,NONE,NONE
141,LEFT,LEFT
142,NONE,NONE
143,NONE,NONE
144,LEFT,LEFT
145,NONE,NONE
146,NONE,NONE
147,LEFT,LEFT
148,NONE,NONE
149,NONE,NONE
150,ROTATE,ROTATE
151,NONE,NONE
152,NONE,NONE
153,ROTATE,ROTATE
154,NONE,NONE
155,NONE,NONE
156,ROTATE,ROTATE
157,NONE,NONE
158,NONE,NONE
159,LEFT,LEFT
160,NONE,NONE
161,NONE,NONE
162,LEFT,LEFT
163,NONE,NONE
164,NONE,NONE
165,HARD_DROP,HARD_DROP
166,NONE,NONE
167,NONE,NONE
168,HARD_DROP,HARD_DROP
169,NONE,NONE
170,NONE,NONE
171,LEFT,LEFT
172,NONE,NONE
173,NONE,NONE
174,LEFT,LEFT
175,NONE,NONE
176,NONE,NONE
177,ROTATE,ROTATE
178,NONE,NONE
179,NONE,NONE
180,LEFT,LEFT
181,NONE,NONE
182,NONE,NONE
183,LEFT,LEFT
184,NONE,NONE
185,NONE,NONE
186,HARD_DROP,HARD_DROP
187,NONE,NONE
